
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
517,Libor Sulak\sulakli01,DET,D,0:44,6,,17:12,-10.8,1.2,4.1,,0:01,,0.0,0.0,,2:09,0.9,4.6,4.6
518,Logan Brown\brownlo01,OTT,C,0:46,2,,7:58,4.3,0.0,3.8,,2:32,54.9,0.0,11.8,,0:00,,,
519,Logan Couture\coutulo01,SJS,C,0:46,81,,14:08,-0.9,3.6,4.0,,2:53,1.7,9.2,1.3,,1:33,2.7,1.4,6.8
520,Logan O'Connor\oconnlo01,COL,RW,0:35,5,,6:17,-6.7,0.0,3.8,,0:00,,,,,0:31,57.4,0.0,23.1
521,Loui Eriksson\erikslo01,VAN,LW,0:29,81,,11:36,-1.4,2.1,2.6,,1:16,-3.7,2.9,2.9,,1:11,4.7,0.6,3.0
522,Louie Belpedio\belpelo01,MIN,D,0:44,2,,13:06,-4.8,2.3,2.3,,0:01,,,,,0:00,,,
523,Luca Sbisa\sbisalu01,NYI,D,0:37,9,,13:42,0.7,1.9,1.9,,0:00,,0.0,0.0,,1:45,13.5,0.0,3.8
524,Lucas Wallmark\wallmlu01,CAR,C,0:36,81,,12:40,-1.2,2.0,2.4,,1:14,0.1,5.4,1.2,,0:52,-8.2,0.0,6.7
525,Lukas Radil\radillu01,SJS,C,0:49,36,,10:39,1.1,2.9,1.7,,0:01,,0.0,0.0,,0:00,,,
526,Lukas Sedlak\sedlalu01,CBJ,C,0:42,47,,8:21,0.6,1.8,2.6,,0:03,11.1,0.0,0.0,,0:34,2.1,0.0,6.6
527,Luke Glendening\glendlu01,DET,C,0:37,78,,13:08,-8.9,2.4,2.6,,0:08,1.7,0.0,0.0,,2:31,-2.4,1.8,8.2
528,Luke Johnson\johnslu01,CHI,C,0:37,15,,9:08,-3.5,0.9,3.9,,0:19,-5.1,12.1,12.1,,1:20,-12.5,0.0,12.0
529,Luke Kunin\kuninlu01,MIN,C,0:48,49,,13:09,-4.8,2.6,3.4,,1:16,-14.5,1.7,0.8,,1:26,-5.3,0.0,6.9
530,Luke Schenn\schenlu01,TOT,D,0:28,26,,12:40,-3.2,0.7,4.8,,0:00,,,,,1:13,-11.1,0.0,7.3
531,Luke Witkowski\witkolu01,DET,D,0:59,34,,8:57,-0.5,2.4,3.3,,0:01,16.0,0.0,0.0,,0:37,-3.8,0.0,5.7
532,Mackenzie MacEachern\maceama01,STL,LW,0:45,29,,8:01,-4.5,1.5,1.5,,0:00,,0.0,0.0,,0:00,,0.0,0.0
533,MacKenzie Weegar\weegama01,FLA,D,0:44,64,,15:13,3.0,2.3,2.5,,0:17,3.6,6.8,0.0,,1:26,-6.3,0.6,4.5
534,Madison Bowey\boweyma01,TOT,D,0:41,50,,14:15,-2.8,2.2,1.8,,0:02,-5.0,0.0,0.0,,0:57,-0.8,0.0,8.1
535,Magnus Paajarvi\paajama01,OTT,LW,0:47,80,,11:25,-3.1,1.8,2.9,,0:05,-23.6,0.0,0.0,,1:57,-6.9,0.8,7.7
536,Marc Methot\methoma01,DAL,D,0:39,9,,15:17,-8.4,1.7,3.1,,0:00,,0.0,0.0,,1:38,-6.2,0.0,4.1
537,Marc Staal\staalma01,NYR,D,0:47,79,,16:29,-4.9,2.4,3.0,,0:01,13.0,0.0,0.0,,2:53,-5.1,0.8,8.1
538,Marc-Edouard Vlasic\vlasima01,SJS,D,0:44,72,,17:40,-7.7,3.0,3.3,,0:45,-0.7,7.6,1.1,,2:36,-10.1,0.3,7.7
539,Marco Scandella\scandma01,BUF,D,0:40,63,,15:30,-5.6,2.2,3.1,,0:06,11.8,0.0,0.0,,2:00,5.5,0.5,6.2
540,Marcus Foligno\foligma01,MIN,LW,0:48,82,,10:07,1.5,1.9,2.1,,0:02,-19.8,5.7,0.0,,1:48,2.8,0.8,4.9
541,Marcus Johansson\johanma03,TOT,C/W,0:51,58,,13:24,0.7,2.8,3.7,,2:29,-0.1,5.4,2.3,,0:01,-15.9,0.0,0.0
542,Marcus Kruger\krugema01,CHI,C,0:34,74,,8:35,-2.8,2.1,2.4,,0:01,-38.1,0.0,0.0,,1:47,-6.6,0.5,9.0
543,Marcus Pettersson\pettema01,TOT,D,0:41,84,,15:00,3.7,2.6,2.0,,0:51,5.6,6.5,0.0,,0:49,0.0,6.5,8.1
544,Marcus Sorensen\sorenma01,SJS,RW,0:36,80,,11:36,-1.4,3.0,2.5,,0:18,-10.7,4.9,2.5,,1:03,-5.1,2.0,6.0
545,Mario Kempe\kempema01,ARI,C,0:39,52,,10:25,-2.1,2.0,1.6,,0:02,-36.1,0.0,0.0,,0:43,0.7,0.0,4.4
546,Mark Alt\altma01,COL,D,0:43,2,,9:30,8.4,0.0,0.0,,0:00,,,,,0:24,-7.1,0.0,0.0
547,Mark Barberio\barbema01,COL,D,0:41,12,,12:42,-11.8,1.6,4.3,,0:00,,,,,2:30,1.6,2.0,4.0
548,Mark Borowiecki\borowma01,OTT,D,0:43,53,,14:04,-4.1,2.2,3.1,,0:01,,0.0,0.0,,1:28,-0.7,0.0,10.8
549,Mark Friedman\friedma01,PHI,D,0:39,1,,12:33,-1.8,0.0,4.8,,0:00,,,,,0:00,,,
550,Mark Giordano\giordma01,CGY,D,0:51,78,,18:15,5.0,3.9,2.5,,3:19,-1.3,9.5,0.9,,2:38,-3.8,3.2,7.5
551,Mark Jankowski\jankoma01,CGY,C,0:40,79,,10:31,-3.4,2.1,2.5,,0:14,-12.4,0.0,0.0,,1:55,7.0,4.7,5.9
552,Mark Letestu\letesma01,CBJ,C,0:47,2,,8:59,-16.3,0.0,3.3,,0:20,0.0,87.8,0.0,,0:00,,,
553,Mark Pysyk\pysykma01,FLA,D,0:41,70,,16:28,-2.6,2.7,2.8,,0:03,-4.8,15.6,0.0,,1:44,-10.8,0.5,7.8
554,Mark Scheifele\scheima01,WPG,C,0:56,82,,17:07,-0.9,3.4,3.0,,3:35,0.8,9.4,1.0,,1:08,5.1,2.6,10.9
555,Mark Stone\stonema01,TOT,RW,0:44,77,,16:13,11.3,4.2,3.3,,2:32,8.5,8.4,1.1,,1:06,12.0,0.8,6.9
556,Marko Dano\danoma01,COL,C,0:38,8,,6:50,-1.7,1.1,2.2,,0:00,,,,,0:02,-13.3,0.0,0.0
557,Markus Granlund\granlma01,VAN,C,0:43,77,,11:03,0.5,1.8,2.0,,1:34,0.4,5.0,2.0,,2:24,1.9,1.0,8.9
558,Markus Hannikainen\hannima01,CBJ,LW,0:47,44,,9:15,0.6,1.5,2.2,,0:03,16.1,0.0,0.0,,0:09,21.0,0.0,0.0
559,Markus Nutivaara\nutivma01,CBJ,D,0:39,80,,17:20,-2.1,2.6,2.5,,0:10,6.4,4.3,0.0,,0:09,-21.1,0.0,4.5
560,Martin Frk\frkma01,DET,RW,0:46,30,,8:07,-2.0,1.7,3.4,,1:03,-1.2,5.7,5.7,,0:00,,,
561,Martin Hanzal\hanzama01,DAL,C,0:40,7,,9:43,-4.8,1.8,5.3,,1:55,-4.8,13.4,0.0,,1:13,5.8,0.0,7.0
562,Martin Marincin\marinma01,TOR,D,0:43,24,,13:44,2.0,2.5,3.3,,0:01,,0.0,0.0,,1:25,9.2,0.0,7.0
563,Martin Necas\necasma01,CAR,C,0:43,7,,8:06,-11.0,2.1,2.1,,1:55,-3.3,0.0,0.0,,0:00,,,
564,Mason Appleton\applema01,WPG,C,0:54,36,,7:55,0.2,3.6,1.7,,0:02,16.8,0.0,0.0,,0:14,-12.6,0.0,7.0
565,Mathew Barzal\barzama01,NYI,C,1:11,82,,14:54,6.3,2.6,2.7,,2:56,0.2,5.6,0.2,,0:04,23.8,0.0,21.6
566,Mathew Dumba\dumbama01,MIN,D,1:03,32,,19:06,2.2,2.6,3.1,,2:43,-0.8,11.0,1.4,,1:32,8.2,3.6,8.5
567,Mathieu Joseph\josepma01,TBL,RW,0:46,70,,10:27,0.0,3.0,2.8,,0:12,-29.3,4.4,0.0,,0:41,7.6,2.5,1.2
568,Mathieu Perreault\perrema01,WPG,C,0:47,82,,10:50,4.5,2.4,2.3,,1:22,-4.0,8.0,1.1,,0:00,,0.0,0.0
569,Mats Zuccarello\zuccama01,TOT,LW,0:44,48,,15:20,3.7,2.9,3.8,,2:59,2.6,9.7,0.0,,1:30,1.6,0.0,11.6
570,Matt Bartkowski\bartkma01,MIN,D,0:42,2,,10:42,-13.2,5.6,0.0,,0:00,,,,,0:00,,,
571,Matt Beleskey\belesma01,NYR,LW,0:36,4,,7:22,-8.9,2.0,0.0,,0:00,,,,,0:00,,,
572,Matt Benning\bennima01,EDM,D,0:31,70,,13:08,0.5,3.0,2.5,,0:33,-4.1,3.0,1.5,,1:14,6.7,2.8,8.3
573,Matt Calvert\calvema01,COL,LW,0:43,82,,11:43,0.5,2.3,3.1,,0:12,3.8,7.9,0.0,,2:15,-2.0,0.7,8.1
574,Matt Cullen\cullema01,PIT,C,0:38,71,,9:13,-8.2,2.6,2.4,,0:02,16.3,0.0,0.0,,2:14,0.9,1.5,8.0
575,Matt Donovan\donovma01,NSH,D,0:45,2,,7:23,-14.7,4.1,4.1,,0:00,,,,,0:00,,,
576,Matt Duchene\duchema01,TOT,C,0:57,73,,16:05,3.0,4.3,4.1,,2:34,2.0,9.4,1.3,,0:10,-9.5,0.0,10.2
577,Matt Grzelcyk\grzelma01,BOS,D,0:41,66,,16:50,-1.9,2.3,1.7,,1:33,-1.6,8.7,1.2,,0:43,7.9,1.3,3.8
578,Matt Hendricks\hendrma01,TOT,C,0:38,26,,8:03,-0.9,1.4,2.0,,0:02,-34.7,0.0,0.0,,0:44,-9.4,0.0,6.2
579,Matt Hunwick\hunwima01,BUF,D,0:50,14,,14:21,-5.4,0.9,3.0,,0:02,,0.0,0.0,,1:17,-10.4,0.0,10.0
580,Matt Irwin\irwinma01,NSH,D,0:44,44,,11:04,1.6,2.5,1.8,,0:00,,0.0,0.0,,0:13,4.7,0.0,6.2
581,Matt Luff\luffma01,LAK,RW,0:42,33,,10:35,-4.6,2.4,2.4,,0:31,-10.3,7.0,7.0,,0:00,,,
582,Matt Martin\martima02,NYI,LW,0:35,67,,11:10,-2.3,1.9,1.5,,0:02,-19.7,0.0,0.0,,0:13,7.1,0.0,8.7
583,Matt Niskanen\niskama01,WSH,D,0:55,80,,18:35,-3.2,2.4,2.6,,0:34,0.6,2.6,0.0,,2:45,-2.5,0.5,8.7
584,Matt Puempel\puempma01,DET,LW,0:35,8,,9:40,-3.1,0.0,1.5,,0:42,-27.0,10.6,0.0,,0:00,,,
585,Matt Read\readma01,MIN,RW,0:35,12,,10:58,2.5,2.3,3.2,,0:09,-84.7,0.0,0.0,,0:36,-1.2,0.0,16.4
586,Matt Roy\royma04,LAK,D,0:46,25,,15:28,-3.8,3.3,3.4,,0:09,11.5,0.0,0.0,,1:30,6.1,0.0,0.0
587,Matt Tennyson\tennyma01,BUF,D,0:36,4,,10:38,3.6,2.8,8.5,,0:01,,,,,0:04,,0.0,0.0
588,Matthew Nieto\nietoma01,COL,LW,0:41,64,,11:04,1.7,2.6,2.9,,0:03,12.4,8.6,0.0,,2:37,1.5,2.2,6.1
589,Matthew Peca\pecama01,MTL,C,0:42,39,,9:14,-10.2,1.2,3.7,,0:02,14.8,0.0,0.0,,1:14,-5.0,1.2,4.9
590,Matthew Tkachuk\tkachma01,CGY,LW,0:48,80,,14:20,4.6,3.6,2.7,,3:12,0.6,9.1,0.7,,0:02,59.1,0.0,102.9
591,Mattias Ekholm\ekholma01,NSH,D,0:49,80,,19:45,3.1,3.0,2.0,,1:22,-4.6,4.9,1.6,,2:13,2.0,1.0,6.7
592,Mattias Janmark\janmama02,DAL,C,0:33,81,,13:23,0.2,1.6,1.9,,0:19,-2.4,1.9,0.0,,1:29,0.8,0.5,4.5
593,Max Comtois\comtoma01,ANA,LW,0:58,10,,13:05,-9.8,3.7,1.4,,1:29,-3.8,0.0,8.1,,0:00,,,
594,Max Domi\domima01,MTL,LW,0:49,82,,14:45,-3.5,3.9,2.7,,2:34,-0.7,4.5,1.1,,0:03,7.9,0.0,0.0
595,Max Jones\jonesma03,ANA,LW,0:36,30,,11:45,2.0,1.9,1.9,,0:38,-5.9,6.2,3.1,,0:45,11.0,0.0,0.0
596,Max McCormick\mccorma01,OTT,LW,0:39,14,,7:11,-1.5,0.6,4.2,,0:01,16.9,0.0,0.0,,0:16,-14.4,0.0,0.0
597,Max Pacioretty\pacioma01,VEG,LW,0:51,66,,14:13,-1.9,2.6,3.3,,2:31,1.3,5.9,0.7,,0:14,-8.8,0.0,7.4
598,Max Veronneau\veronma01,OTT,RW,0:41,12,,11:19,-5.8,1.3,3.5,,1:11,4.4,12.6,0.0,,0:00,,,
599,Maxim Mamin\maminma01,FLA,C/RW,0:26,7,,7:17,6.3,0.0,2.4,,0:03,-91.6,0.0,0.0,,0:00,,,
600,Maxime Lajoie\lajoima01,OTT,D,0:49,56,,15:24,-5.1,1.7,3.3,,1:38,-4.3,6.5,2.0,,1:51,1.5,0.0,8.1
601,Melker Karlsson\karlsme01,SJS,C,0:33,79,,9:58,-2.5,2.1,2.2,,0:02,-52.5,0.0,0.0,,1:28,-7.7,0.5,7.1
602,Michael Amadio\amadimi01,LAK,C,0:41,43,,9:33,2.0,3.1,3.1,,0:38,8.9,2.2,2.2,,0:00,,0.0,0.0
603,Michael Bunting\buntimi01,ARI,LW,0:31,5,,9:33,3.6,1.3,1.3,,0:00,,,,,0:00,,,
604,Michael Chaput\chapumi01,MTL,C,0:41,32,,9:13,-4.2,1.8,2.8,,0:01,,0.0,0.0,,1:58,-4.7,0.9,7.6
605,Michael Dal Colle\dalcomi01,NYI,LW,0:47,28,,11:53,0.4,2.4,1.8,,0:12,-17.0,0.0,0.0,,0:00,,,
606,Michael Del Zotto\delzomi01,TOT,D,0:40,42,,15:14,-2.8,3.3,4.7,,0:05,19.0,0.0,0.0,,1:42,,0.0,0.0
607,Michael Frolik\frolimi01,CGY,LW,0:44,65,,12:42,2.6,3.6,2.0,,0:05,-6.2,0.0,9.2,,0:34,-0.7,3.3,11.4
608,Michael Grabner\grabnmi01,ARI,RW,0:42,41,,11:56,-3.5,1.5,2.9,,0:05,-28.8,0.0,0.0,,2:21,3.2,6.2,2.5
609,Michael McLeod\mcleomi01,NJD,C,0:43,21,,11:48,-4.3,0.7,2.7,,0:18,4.3,0.0,9.1,,0:05,33.7,32.7,32.7
610,Michael Raffl\rafflmi01,PHI,LW,0:48,67,,10:24,-2.7,2.5,2.8,,0:04,14.3,0.0,0.0,,0:55,3.7,1.8,4.5
611,Michael Rasmussen\rasmumi01,DET,C,0:43,62,,10:16,-0.9,2.1,2.6,,1:47,-1.6,5.9,1.1,,0:00,-13.4,0.0,0.0
612,Michael Stone\stonemi01,CGY,D,0:45,14,,13:32,-2.4,2.8,2.8,,0:30,1.6,0.0,0.0,,1:53,-0.3,0.0,11.6
613,Michal Kempny\kempnmi01,WSH,D,1:03,71,,17:31,2.1,3.7,2.7,,0:00,14.6,0.0,0.0,,1:38,0.7,0.5,6.6
614,Micheal Ferland\ferlami01,CAR,LW,0:39,71,,12:07,-1.2,3.2,2.1,,1:56,-1.9,8.7,1.3,,0:01,22.8,0.0,0.0
615,Micheal Haley\haleymi01,TOT,C,0:38,43,,8:02,-1.5,2.0,2.7,,0:02,16.7,0.0,0.0,,0:00,-14.4,0.0,0.0
616,Miikka Salomaki\salommi01,NSH,RW,0:42,37,,10:18,-2.3,2.2,1.4,,0:01,-20.0,0.0,0.0,,0:06,-4.1,0.0,12.6
617,Mika Zibanejad\zibanmi01,NYR,C,0:40,82,,15:43,3.4,2.9,3.6,,2:50,0.6,8.2,0.5,,1:59,-6.9,1.1,8.9
618,Mikael Backlund\backlmi01,CGY,C,0:44,77,,14:50,1.9,3.7,2.0,,1:39,0.9,2.8,0.5,,1:23,1.8,1.7,9.0
619,Mikael Granlund\granlmi01,TOT,C,0:50,79,,15:09,1.6,2.4,2.6,,2:33,-0.1,6.8,0.3,,0:37,5.7,2.5,8.9
620,Mike Green\greenmi03,DET,D,0:47,43,,19:32,1.5,3.0,2.9,,1:57,6.9,3.6,1.4,,0:10,-15.5,0.0,22.8
621,Mike Hoffman\hoffmmi02,FLA,C/LW,0:53,82,,14:23,2.0,2.5,3.4,,3:26,1.9,11.7,1.5,,0:00,-18.3,0.0,46.8
622,Mike Matheson\mathemi01,FLA,D,0:40,75,,19:07,-3.4,2.6,3.6,,0:47,-7.8,10.2,3.0,,2:23,3.2,0.7,7.3
623,Mike Reilly\reillmi01,MTL,D,0:44,57,,16:45,1.3,2.8,2.7,,1:24,4.3,2.2,0.7,,0:30,5.1,0.0,6.2
624,Mikhail Sergachev\sergami01,TBL,D,0:56,75,,16:10,3.0,3.1,2.5,,1:30,-5.2,5.9,1.1,,0:13,6.4,3.9,15.6
625,Mikhail Vorobyev\vorobmi01,PHI,C,0:49,15,,8:26,-7.5,2.8,1.9,,0:53,-19.6,0.0,8.9,,0:00,,,
626,Mikkel Boedker\boedkmi01,OTT,RW,0:42,71,,12:07,-4.4,2.9,4.5,,1:53,-9.6,7.2,0.9,,0:01,66.0,0.0,0.0
627,Mikko Koivu\koivumi01,MIN,C,0:55,48,,14:19,1.8,2.4,2.6,,2:21,-0.5,7.5,0.5,,1:36,-2.6,0.8,7.8
628,Mikko Rantanen\rantami01,COL,RW,0:54,74,,16:44,5.2,3.6,2.8,,4:05,-2.8,8.8,0.8,,0:01,-13.5,0.0,0.0
629,Milan Lucic\lucicmi01,EDM,LW,0:47,79,,11:53,3.6,1.9,2.4,,1:20,1.4,6.8,0.6,,0:00,,,
630,Miles Wood\woodmi01,NJD,LW,0:50,63,,12:28,1.9,2.3,3.1,,1:12,-10.9,6.7,0.0,,0:00,-17.9,0.0,0.0
631,Mirco Mueller\muellmi01,NJD,D,0:51,53,,16:23,0.7,2.1,2.5,,0:06,-3.4,0.0,0.0,,1:33,8.0,1.9,3.7
632,Miro Heiskanen\heiskmi01,DAL,D,0:49,82,,20:03,3.8,2.4,2.9,,1:39,1.1,5.7,0.0,,1:23,5.1,0.5,5.8
633,Mitch Marner\marnemi01,TOR,C,0:43,82,,15:52,0.0,4.4,3.3,,2:35,7.6,9.3,1.4,,1:21,14.5,1.6,5.4
634,Morgan Rielly\riellmo01,TOR,D,0:53,82,,19:26,0.1,4.3,3.3,,2:36,3.3,8.9,1.4,,1:04,0.1,0.7,5.5
635,Nate Prosser\prossna01,MIN,D,0:43,15,,9:45,-1.6,1.3,0.8,,0:02,-85.4,0.0,0.0,,0:25,33.0,0.0,0.0
636,Nate Schmidt\schmina01,VEG,D,0:50,61,,18:37,-5.4,3.7,2.7,,1:49,-1.8,7.6,1.0,,1:29,8.7,2.6,7.3
637,Nate Thompson\thompna01,TOT,C,0:42,78,,10:54,-5.9,2.1,1.7,,0:16,-12.0,0.0,2.9,,1:49,-3.0,0.0,5.3
638,Nathan Bastian\bastina01,NJD,RW,0:49,7,,11:03,3.4,2.4,2.4,,1:37,-13.1,0.0,0.0,,0:00,,,
639,Nathan Beaulieu\beaulna01,TOT,D,0:42,48,,14:38,4.1,3.0,2.8,,0:14,-3.3,5.9,0.0,,0:37,7.4,0.0,4.9
640,Nathan MacKinnon\mackina01,COL,C,0:59,82,,17:54,5.4,3.7,2.8,,4:04,-3.1,9.0,0.5,,0:06,18.1,0.0,13.8
641,Nathan Walker\walkena01,WSH,C,0:45,3,,7:18,-0.8,2.7,0.0,,0:24,-9.6,0.0,0.0,,0:25,-9.4,0.0,46.8
642,Nazem Kadri\kadrina01,TOR,C,0:51,73,,13:35,2.7,2.7,2.7,,2:35,6.2,8.7,0.9,,0:00,,0.0,0.0
643,Neal Pionk\pionkne01,NYR,D,0:48,73,,16:47,-3.5,2.3,3.1,,1:29,-6.9,10.4,0.5,,2:52,-5.6,0.9,9.1
644,Nelson Nogier\nogiene01,WPG,D,0:55,1,,10:06,-4.6,0.0,0.0,,0:00,,,,,0:00,,,
645,Nic Dowd\dowdni01,WSH,C,0:47,64,,8:37,-0.9,2.8,2.0,,0:00,-34.4,0.0,0.0,,1:39,-0.1,0.6,6.2
646,Nic Petan\petanni01,TOT,C,0:43,18,,7:09,5.3,1.9,3.2,,0:28,,0.0,0.0,,0:00,-12.1,0.0,0.0
647,Nick Bjugstad\bjugsni01,TOT,C,0:34,64,,13:34,1.0,2.4,1.9,,1:29,-3.3,8.4,1.1,,0:02,,,
648,Nick Bonino\boninni01,NSH,C,0:37,81,,12:42,-4.9,3.0,1.5,,1:39,0.5,4.0,0.4,,1:56,0.2,0.8,7.6
649,Nick Cousins\cousini01,ARI,C,0:42,81,,12:39,1.5,2.2,2.6,,0:52,1.3,6.8,1.7,,0:00,-17.1,0.0,14.3
650,Nick Foligno\foligni01,CBJ,LW,0:43,73,,14:22,-3.2,3.3,2.5,,2:27,-0.3,5.7,0.7,,0:52,-0.7,0.0,4.7
651,Nick Holden\holdeni01,VEG,D,0:42,61,,16:27,1.8,2.7,2.6,,0:05,-16.6,0.0,0.0,,1:44,12.7,2.3,3.4
652,Nick Jensen\jenseni02,TOT,D,0:48,80,,17:21,1.1,2.5,2.6,,0:03,-34.6,0.0,0.0,,2:26,-0.2,0.7,6.2
653,Nick Lappin\lappini01,NJD,RW,0:46,11,,12:25,-4.4,0.4,3.1,,1:11,0.7,4.5,0.0,,0:03,,0.0,0.0
654,Nick Leddy\leddyni01,NYI,D,0:52,82,,18:21,-5.4,2.7,2.6,,2:47,2.6,4.9,0.0,,0:23,11.1,0.0,3.8
655,Nick Paul\paulni01,OTT,LW,0:45,20,,8:26,8.5,1.4,5.0,,0:01,-82.3,0.0,0.0,,0:00,,,
656,Nick Ritchie\ritchni01,ANA,LW,0:54,60,,12:39,0.7,2.8,2.2,,1:48,-1.9,7.7,1.1,,0:32,7.9,1.9,3.8
657,Nick Schmaltz\schmani01,TOT,C,0:47,40,,14:26,-2.6,2.5,4.4,,3:03,10.8,10.1,0.0,,0:19,,,
658,Nick Seeler\seeleni01,MIN,D,0:56,71,,11:31,-4.0,2.1,2.4,,0:01,-36.2,0.0,0.0,,0:46,6.0,0.0,3.3
659,Nicklas Backstrom\backsni02,WSH,C,0:59,80,,15:19,1.3,3.4,3.1,,3:41,8.7,8.9,0.8,,0:55,4.8,0.0,7.2
660,Nico Hischier\hischni01,NJD,C,0:43,69,,14:32,4.9,3.3,3.1,,2:54,1.7,7.1,1.5,,0:39,-5.1,1.1,1.1
661,Nico Sturm\sturmni01,MIN,C,0:43,2,,11:57,12.7,0.0,0.0,,0:07,,0.0,0.0,,0:43,-22.2,0.0,0.0
662,Nicolas Aube-Kubel\aubekni01,PHI,RW,0:44,9,,5:32,4.8,1.2,0.0,,0:02,,0.0,0.0,,0:00,,,
663,Nicolas Deslauriers\deslani01,MTL,LW,0:45,48,,9:37,-3.8,1.2,2.9,,0:01,14.1,0.0,0.0,,0:23,9.1,3.2,19.4
664,Nicolas Roy\royni01,CAR,C,0:30,6,,6:51,-10.9,0.0,0.0,,0:00,,,,,0:05,-31.4,0.0,102.9
665,Nikita Kucherov\kucheni01,TBL,RW,1:00,82,,16:11,2.2,4.3,3.0,,3:42,6.7,11.8,0.6,,0:03,8.6,0.0,33.0
666,Nikita Scherbak\scherni01,LAK,RW,0:53,8,,10:06,6.0,1.5,4.5,,0:04,15.3,0.0,0.0,,0:00,,,
667,Nikita Soshnikov\soshnni01,STL,RW,0:37,5,,7:08,-15.0,1.7,3.4,,0:01,,0.0,0.0,,0:00,,,
668,Nikita Zadorov\zadorni01,COL,D,0:44,70,,15:27,0.1,2.7,1.8,,0:04,12.1,0.0,0.0,,1:40,1.4,1.5,9.1
669,Nikita Zaitsev\zaitsni01,TOR,D,0:44,81,,17:32,-4.0,2.6,2.7,,0:04,-25.5,0.0,0.0,,2:51,4.0,1.0,7.5
670,Niklas Hjalmarsson\hjalmni01,ARI,D,0:49,82,,16:31,-0.1,2.1,2.4,,0:01,15.1,42.4,0.0,,3:09,1.2,2.9,4.8
671,Niklas Kronwall\kronwni01,DET,D,0:45,79,,17:13,1.9,2.6,2.9,,1:39,-2.1,6.5,0.5,,1:04,4.9,2.1,10.6
672,Nikolaj Ehlers\ehlerni01,WPG,LW,0:56,62,,14:26,3.0,2.7,2.5,,1:18,-3.3,6.7,0.7,,0:00,,0.0,0.0
673,Nikolay Goldobin\goldoni01,VAN,LW,0:44,63,,12:23,2.9,2.5,2.8,,2:33,-9.9,5.5,2.2,,0:02,35.2,9.0,0.0
674,Nino Niederreiter\niedeni01,TOT,RW,0:55,82,,13:57,2.9,2.5,3.6,,2:15,3.6,8.6,0.6,,0:01,,,
675,Noah Hanifin\hanifno01,CGY,D,0:48,80,,17:56,-1.8,3.1,2.5,,1:07,-3.1,4.0,0.7,,1:42,6.4,2.2,8.0
676,Noah Juulsen\juulsno01,MTL,D,0:43,21,,14:57,-5.4,3.6,2.7,,0:01,13.7,0.0,0.0,,2:07,4.5,0.0,5.4
677,Noel Acciari\acciano01,BOS,C,0:50,72,,11:22,-4.1,1.7,1.8,,0:02,-32.8,0.0,19.5,,1:33,-6.2,0.0,5.9
678,Nolan Patrick\patrino01,PHI,C,0:41,72,,13:23,-2.2,2.5,2.6,,1:39,-5.1,3.6,3.1,,0:02,-14.4,0.0,0.0
679,Oliver Bjorkstrand\bjorkol01,CBJ,RW,0:32,77,,11:05,2.9,3.0,2.3,,1:14,3.7,5.6,1.2,,0:00,,0.0,0.0
680,Oliver Ekman-Larsson\ekmanol01,ARI,D,0:52,81,,18:49,4.6,2.2,2.9,,3:33,5.4,5.4,0.8,,1:15,1.1,2.2,6.1
681,Oliver Kylington\kylinol01,CGY,D,0:39,38,,12:21,-4.5,1.9,1.5,,0:02,15.4,0.0,0.0,,0:01,14.9,0.0,0.0
682,Olli Maatta\maattol01,PIT,D,0:45,60,,15:45,-4.3,2.9,2.4,,0:48,3.5,5.7,1.9,,2:01,4.5,1.5,5.4
683,Ondrej Kase\kaseon01,ANA,RW,0:49,30,,13:26,10.2,3.4,3.0,,2:11,-2.2,3.6,2.7,,0:01,16.5,0.0,0.0
684,Ondrej Palat\palaton01,TBL,LW,0:51,64,,12:44,0.6,2.9,2.6,,1:59,5.7,10.7,0.0,,0:09,-12.5,0.0,0.0
685,Oscar Fantenberg\fanteos01,TOT,D,0:48,61,,14:34,-0.9,1.9,2.0,,0:14,10.6,0.0,0.0,,1:10,0.8,0.9,8.3
686,Oscar Klefbom\klefbos01,EDM,D,0:46,61,,19:31,2.3,2.1,2.7,,2:39,7.2,7.8,1.1,,1:47,-0.8,1.6,9.3
687,Oscar Lindberg\lindbos02,TOT,C,0:50,55,,11:54,3.3,2.9,2.4,,0:25,3.6,4.7,0.0,,0:09,32.4,0.0,0.0
688,Oskar Lindblom\lindbos01,PHI,LW,0:33,81,,11:50,3.0,2.7,3.0,,1:05,-2.6,4.2,2.8,,0:48,-3.9,0.0,8.1
689,Oskar Sundqvist\sundqos01,STL,C,0:43,74,,11:47,-2.7,2.3,2.5,,0:22,5.6,6.5,2.2,,1:39,4.7,1.0,6.2
690,P.K. Subban\subbapk01,NSH,D,0:35,63,,18:30,3.9,2.8,2.7,,2:35,0.1,5.9,0.4,,1:33,-0.2,1.8,7.9
691,Par Lindholm\lindhpa01,TOT,C,0:42,65,,9:41,-5.7,2.4,1.9,,0:04,-39.5,0.0,0.0,,1:35,-0.9,0.0,7.8
